Halal,NAME,BSE-ID,NSECode,Industry,More
yes,20 MICRONS LTD.,20MICRONS,20MICRONS,Mining / Minerals / Metals,More
no,360 ONE WAM Ltd,360ONE,360ONE,Finance & Investments,More
yes,3I INFOTECH LTD.,3IINFOTECH,3IINFOLTD,Computers - Software - Medium / Small,More
yes,3M INDIA LTD.,3MINDIA,3MINDIA,Trading,More
no,3P LAND HOLDINGS LTD,3PLAND,3PLAND,Finance & Investments,More
no,3rd Rock Multimedia Limited,3RDROCK,,Services,More
no,5PAISA CAPITAL LTD,5PAISA,5PAISA,Finance & Investments,More
yes,63 MOONS TECHNOLOGIES LTD,63MOONS,63MOONS,Computers - Software - Medium / Small,More
yes,7NR RETAIL LTD,7NR,,Trading,More
no,7SEAS ENTERTAINMENT LTD,7SEASL,,Computers - Software - Medium / Small,More
no,A & M FEBCON LTD,AMFL,,Engineering,More
no,A AND M JUMBO BAGS LIMITED,AMJUMBO,,Packaging,More
no,A B INFRABUILD,,ABINFRA,Construction,More
no,A G Universal Ltd,,AGUL,Iron & Steel Products,More
no,A INFRASTRUCTURE LTD,AINFRA,,Cement Products,More
yes,A.F. ENTERPRISES LTD,AFEL,,Trading,More
yes,A.K. SPINTEX LTD,AKSPINTEX,,Textiles - Processing,More
no,A.K.CAPITAL SERVICES LTD.,AKCAPIT,,Finance & Investments,More
yes,A-1 ACID LTD,AAL,,Chemicals,More
no,A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,A2ZINFRA,Engineering,More
yes,AA PLUS TRADELINK LTD,AAPLUSTRAD,,Trading,More
yes,AAA TECHNOLOGIES,,AAATECH,Computers - Software - Medium / Small,More
no,AADI INDUSTRIES LTD.,AADIIND,,Fibers & Plastics - Petrochemicals,More
yes,AAKASH EXPLOR.,,AAKASH,Oil Drilling / Allied Services,More
no,AANANDA LAKSHMI SPINNING MILLS LTD,AANANDALAK,,Textiles - Spinning - Synthetic / Blended,More
no,AANCHAL ISPAT LTD,AANCHALISP,,Steel - Medium / Small,More
no,AAREY DRUGS & PHARMACEUTICALS LTD.,AREYDRG,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,More
no,AARNAV FASHIONS LTD,AARNAV,,Trading,More
yes,AARON INDUSTRIES,,AARON,Engineering,More
yes,AARTECH SOLONICS LTD,AARTECH,AARTECH,Electric Equipment,More
yes,AARTI DRUGS LTD.,AARTIDRUGS,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,More
yes,AARTI INDUSTRIES LTD.,AARTIIND,AARTIIND,Chemicals,More
yes,Aarti Pharmalabs Ltd1,AARTIPHARM,AARTIPHARM,Pharmaceuticals,More
yes,AARTI SURFACTANTS LTD,AARTISURF,AARTISURF,Chemicals,More
no,AARVEE DENIMS & EXPORTS LTD.,AARVEEDEN,AARVEEDEN,Textiles - Cotton/Blended,More
yes,AARVI ENCON,,AARVI,Miscellaneous,More
yes,Aatmaj Healthcare Ltd,,AATMAJ,Hospital,More
no,AAVAS FINANCIERS LTD,AAVAS,AAVAS,Finance - Housing,More
no,AAYUSH FOOD AND HERBS LTD,AAYUSH,,Trading,More
no,AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,More
no,ABAN OFFSHORE LTD.,ABAN,ABAN,Oil Drilling / Allied Services,More
no,ABANS ENTERPRISES LTD,ABANSENT,,Trading,More
no,Abans Holdings Ltd,AHL,AHL,Holding Company,More
yes,ABB INDIA LIMITED,ABB,ABB,Electric Equipment,More
yes,ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,POWERINDIA,POWERINDIA,Electric Equipment,More
yes,ABBOTT INDIA LTD.,ABBOTINDIA,ABBOTINDIA,Pharmaceuticals - Multinational,More
no,ABC GAS (INTERNATIONAL) LTD.,ABCGAS,,Trading,More
no,ABC INDIA LTD.,ABCINDQ,,Miscellaneous,More
no,ABHINAV CAPITAL SERVICES LTD.,ABHICAP,,Finance & Investments,More
no,ABHINAV LEASING & FINANCE LTD,ALFL,,Finance & Investments,More
no,ABHISHEK FINLEASE LTD,ABHIFIN,,Finance & Investments,More
yes,ABHISHEK INTEGR.,,AILIMITED,Miscellaneous,More
no,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,ABIRAFN,,Finance & Investments,More
yes,ABM International Limited,ABMINTLLTD,ABMINTLLTD,Base Material,More
